,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
0,2021,1,1,0,0,1.93,1.0,100_torrey_pines_outer
1,2021,1,1,0,30,1.9,1.0,100_torrey_pines_outer
2,2021,1,1,1,0,1.76,1.0,100_torrey_pines_outer
3,2021,1,1,1,30,1.88,1.0,100_torrey_pines_outer
4,2021,1,1,2,0,1.89,1.0,100_torrey_pines_outer
5,2021,1,1,2,30,1.93,1.0,100_torrey_pines_outer
6,2021,1,1,3,0,1.95,1.0,100_torrey_pines_outer
7,2021,1,1,3,30,1.95,1.0,100_torrey_pines_outer
8,2021,1,1,4,0,1.9,1.0,100_torrey_pines_outer
9,2021,1,1,4,30,1.95,1.0,100_torrey_pines_outer
10,2021,1,1,5,0,1.9,1.0,100_torrey_pines_outer
11,2021,1,1,5,30,1.91,1.0,100_torrey_pines_outer
12,2021,1,1,6,0,1.75,1.0,100_torrey_pines_outer
13,2021,1,1,6,30,1.69,1.0,100_torrey_pines_outer
14,2021,1,1,7,0,1.72,1.0,100_torrey_pines_outer
15,2021,1,1,7,30,1.64,1.0,100_torrey_pines_outer
16,2021,1,1,8,0,1.6,1.0,100_torrey_pines_outer
17,2021,1,1,8,30,1.67,1.0,100_torrey_pines_outer
18,2021,1,1,9,0,1.62,1.0,100_torrey_pines_outer
19,2021,1,1,9,30,1.64,1.0,100_torrey_pines_outer
20,2021,1,1,10,0,1.56,1.0,100_torrey_pines_outer
21,2021,1,1,10,30,1.5,1.0,100_torrey_pines_outer
22,2021,1,1,11,0,1.53,1.0,100_torrey_pines_outer
23,2021,1,1,11,30,1.55,1.0,100_torrey_pines_outer
24,2021,1,1,12,0,1.58,1.0,100_torrey_pines_outer
25,2021,1,1,12,30,1.43,1.0,100_torrey_pines_outer
26,2021,1,1,13,0,1.52,1.0,100_torrey_pines_outer
27,2021,1,1,13,30,1.39,1.0,100_torrey_pines_outer
28,2021,1,1,14,0,1.47,1.0,100_torrey_pines_outer
29,2021,1,1,14,30,1.47,1.0,100_torrey_pines_outer
30,2021,1,1,15,0,1.39,1.0,100_torrey_pines_outer
31,2021,1,1,15,30,1.32,1.0,100_torrey_pines_outer
32,2021,1,1,16,0,1.32,1.0,100_torrey_pines_outer
33,2021,1,1,16,30,1.4,1.0,100_torrey_pines_outer
34,2021,1,1,17,0,1.43,1.0,100_torrey_pines_outer
35,2021,1,1,17,30,1.42,1.0,100_torrey_pines_outer
36,2021,1,1,18,0,1.41,1.0,100_torrey_pines_outer
37,2021,1,1,18,30,1.37,1.0,100_torrey_pines_outer
38,2021,1,1,19,0,1.29,1.0,100_torrey_pines_outer
39,2021,1,1,19,30,1.4,1.0,100_torrey_pines_outer
40,2021,1,1,20,0,1.28,1.0,100_torrey_pines_outer
