,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
0,2021,1,1,0,0,2.3,1.0,220_mission_bay_west
1,2021,1,1,0,30,2.17,15.0,220_mission_bay_west
2,2021,1,1,1,0,2.12,15.0,220_mission_bay_west
3,2021,1,1,1,30,2.16,15.0,220_mission_bay_west
4,2021,1,1,2,0,2.18,15.1,220_mission_bay_west
5,2021,1,1,2,30,2.26,15.1,220_mission_bay_west
6,2021,1,1,3,0,2.37,15.0,220_mission_bay_west
7,2021,1,1,3,30,2.34,15.0,220_mission_bay_west
8,2021,1,1,4,0,2.33,15.1,220_mission_bay_west
9,2021,1,1,4,30,2.29,15.1,220_mission_bay_west
10,2021,1,1,5,0,2.32,15.2,220_mission_bay_west
11,2021,1,1,5,30,2.13,15.2,220_mission_bay_west
12,2021,1,1,6,0,2.11,15.2,220_mission_bay_west
13,2021,1,1,6,30,2.1,15.2,220_mission_bay_west
14,2021,1,1,7,0,2.2,15.2,220_mission_bay_west
15,2021,1,1,7,30,2.2,15.2,220_mission_bay_west
16,2021,1,1,8,0,2.11,15.2,220_mission_bay_west
17,2021,1,1,8,30,2.09,15.2,220_mission_bay_west
18,2021,1,1,9,0,2.12,15.2,220_mission_bay_west
19,2021,1,1,9,30,1.84,15.2,220_mission_bay_west
20,2021,1,1,10,0,1.68,15.2,220_mission_bay_west
21,2021,1,1,10,30,1.85,15.2,220_mission_bay_west
22,2021,1,1,11,0,1.77,15.2,220_mission_bay_west
23,2021,1,1,11,30,1.72,15.2,220_mission_bay_west
24,2021,1,1,12,0,1.7,15.1,220_mission_bay_west
25,2021,1,1,12,30,1.75,15.1,220_mission_bay_west
26,2021,1,1,13,0,1.65,15.1,220_mission_bay_west
27,2021,1,1,13,30,1.66,15.1,220_mission_bay_west
28,2021,1,1,14,0,1.75,15.0,220_mission_bay_west
29,2021,1,1,14,30,1.71,15.0,220_mission_bay_west
30,2021,1,1,15,0,1.58,15.0,220_mission_bay_west
31,2021,1,1,15,30,1.69,15.0,220_mission_bay_west
32,2021,1,1,16,0,1.55,15.0,220_mission_bay_west
33,2021,1,1,16,30,1.5,15.0,220_mission_bay_west
34,2021,1,1,17,0,1.72,15.0,220_mission_bay_west
35,2021,1,1,17,30,1.55,14.9,220_mission_bay_west
36,2021,1,1,18,0,1.59,14.9,220_mission_bay_west
37,2021,1,1,18,30,1.63,14.9,220_mission_bay_west
38,2021,1,1,19,0,1.73,15.0,220_mission_bay_west
39,2021,1,1,19,30,1.96,15.0,220_mission_bay_west
40,2021,1,1,20,0,1.58,15.1,220_mission_bay_west
41,2021,1,1,20,30,1.87,15.2,220_mission_bay_west
42,2021,1,1,21,0,1.78,15.5,220_mission_bay_west
43,2021,1,1,21,30,1.72,15.5,220_mission_bay_west
44,2021,1,1,22,0,1.59,15.5,220_mission_bay_west
45,2021,1,1,22,30,1.55,15.4,220_mission_bay_west
46,2021,1,1,23,0,1.51,15.4,220_mission_bay_west
47,2021,1,1,23,30,1.66,15.2,220_mission_bay_west
48,2021,1,2,0,0,1.49,15.1,220_mission_bay_west
49,2021,1,2,0,30,1.53,15.1,220_mission_bay_west
50,2021,1,2,1,0,1.53,15.0,220_mission_bay_west
51,2021,1,2,1,30,1.56,15.0,220_mission_bay_west
52,2021,1,2,2,0,1.52,15.0,220_mission_bay_west
53,2021,1,2,2,30,1.62,15.0,220_mission_bay_west
54,2021,1,2,3,0,1.63,15.0,220_mission_bay_west
55,2021,1,2,3,30,1.51,15.0,220_mission_bay_west
56,2021,1,2,4,0,1.64,15.0,220_mission_bay_west
57,2021,1,2,4,30,1.56,15.0,220_mission_bay_west
58,2021,1,2,5,0,1.47,15.0,220_mission_bay_west
59,2021,1,2,5,30,1.48,15.0,220_mission_bay_west
60,2021,1,2,6,0,1.37,15.0,220_mission_bay_west
61,2021,1,2,6,30,1.45,15.0,220_mission_bay_west
62,2021,1,2,7,0,1.25,15.0,220_mission_bay_west
63,2021,1,2,7,30,1.34,15.1,220_mission_bay_west
64,2021,1,2,8,0,1.31,15.1,220_mission_bay_west
65,2021,1,2,8,30,1.33,15.1,220_mission_bay_west
66,2021,1,2,9,0,1.28,15.1,220_mission_bay_west
67,2021,1,2,9,30,1.39,15.1,220_mission_bay_west
68,2021,1,2,10,0,1.27,15.2,220_mission_bay_west
69,2021,1,2,10,30,1.27,15.2,220_mission_bay_west
70,2021,1,2,11,0,1.25,15.2,220_mission_bay_west
71,2021,1,2,11,30,1.23,15.2,220_mission_bay_west
72,2021,1,2,12,0,1.37,15.2,220_mission_bay_west
73,2021,1,2,12,30,1.27,15.2,220_mission_bay_west
74,2021,1,2,13,0,1.23,15.1,220_mission_bay_west
75,2021,1,2,13,30,1.22,15.1,220_mission_bay_west
76,2021,1,2,14,0,1.18,15.0,220_mission_bay_west
77,2021,1,2,14,30,1.22,15.0,220_mission_bay_west
78,2021,1,2,15,0,1.12,15.0,220_mission_bay_west
79,2021,1,2,15,30,1.18,15.0,220_mission_bay_west
80,2021,1,2,16,0,1.22,15.0,220_mission_bay_west
81,2021,1,2,16,30,1.16,15.0,220_mission_bay_west
82,2021,1,2,17,0,1.19,15.0,220_mission_bay_west
83,2021,1,2,17,30,1.18,15.0,220_mission_bay_west
84,2021,1,2,18,0,1.13,15.0,220_mission_bay_west
85,2021,1,2,18,30,1.16,15.0,220_mission_bay_west
86,2021,1,2,19,0,1.2,15.0,220_mission_bay_west
87,2021,1,2,19,30,1.16,15.1,220_mission_bay_west
88,2021,1,2,20,0,1.17,15.2,220_mission_bay_west
89,2021,1,2,20,30,1.28,15.6,220_mission_bay_west
90,2021,1,2,21,0,1.26,15.5,220_mission_bay_west
91,2021,1,2,21,30,1.26,15.5,220_mission_bay_west
92,2021,1,2,22,0,1.33,15.6,220_mission_bay_west
93,2021,1,2,22,30,1.47,15.5,220_mission_bay_west
94,2021,1,2,23,0,1.31,15.5,220_mission_bay_west
95,2021,1,2,23,30,1.44,15.5,220_mission_bay_west
96,2021,1,3,0,0,1.35,15.4,220_mission_bay_west
97,2021,1,3,0,30,1.65,15.5,220_mission_bay_west
98,2021,1,3,1,0,1.47,15.2,220_mission_bay_west
99,2021,1,3,1,30,1.36,15.3,220_mission_bay_west
100,2021,1,3,2,0,1.42,15.4,220_mission_bay_west
