,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
0,2021,1,1,0,0,1.61,16.8,028_santa_monica
1,2021,1,1,0,30,1.49,16.6,028_santa_monica
2,2021,1,1,1,0,1.49,16.5,028_santa_monica
3,2021,1,1,1,30,1.46,15.5,028_santa_monica
4,2021,1,1,2,0,1.52,15.6,028_santa_monica
5,2021,1,1,2,30,1.53,15.5,028_santa_monica
6,2021,1,1,3,0,1.51,16.0,028_santa_monica
7,2021,1,1,3,30,1.46,16.1,028_santa_monica
8,2021,1,1,4,0,1.39,16.2,028_santa_monica
9,2021,1,1,4,30,1.45,17.0,028_santa_monica
10,2021,1,1,5,0,1.5,16.6,028_santa_monica
11,2021,1,1,5,30,1.48,16.0,028_santa_monica
12,2021,1,1,6,0,1.48,16.0,028_santa_monica
13,2021,1,1,6,30,1.42,16.1,028_santa_monica
14,2021,1,1,7,0,1.38,16.1,028_santa_monica
15,2021,1,1,7,30,1.36,16.2,028_santa_monica
16,2021,1,1,8,0,1.38,16.1,028_santa_monica
17,2021,1,1,8,30,1.33,16.0,028_santa_monica
18,2021,1,1,9,0,1.27,15.4,028_santa_monica
19,2021,1,1,9,30,1.18,15.5,028_santa_monica
20,2021,1,1,10,0,1.18,15.6,028_santa_monica
21,2021,1,1,10,30,1.11,16.3,028_santa_monica
22,2021,1,1,11,0,1.17,16.4,028_santa_monica
23,2021,1,1,11,30,1.19,16.2,028_santa_monica
24,2021,1,1,12,0,1.22,16.0,028_santa_monica
25,2021,1,1,12,30,1.29,15.9,028_santa_monica
26,2021,1,1,13,0,1.25,15.7,028_santa_monica
27,2021,1,1,13,30,1.25,15.4,028_santa_monica
28,2021,1,1,14,0,1.28,15.6,028_santa_monica
29,2021,1,1,14,30,1.2,15.3,028_santa_monica
30,2021,1,1,15,0,1.31,15.4,028_santa_monica
31,2021,1,1,15,30,1.24,15.6,028_santa_monica
32,2021,1,1,16,0,1.37,15.1,028_santa_monica
33,2021,1,1,16,30,1.2,15.3,028_santa_monica
34,2021,1,1,17,0,1.28,15.6,028_santa_monica
35,2021,1,1,17,30,1.23,15.6,028_santa_monica
36,2021,1,1,18,0,1.18,16.6,028_santa_monica
37,2021,1,1,18,30,1.16,16.9,028_santa_monica
38,2021,1,1,19,0,1.11,16.3,028_santa_monica
39,2021,1,1,19,30,1.06,15.9,028_santa_monica
40,2021,1,1,20,0,1.22,16.0,028_santa_monica
41,2021,1,1,20,30,1.06,16.2,028_santa_monica
42,2021,1,1,21,0,1.11,16.1,028_santa_monica
43,2021,1,1,21,30,1.16,15.9,028_santa_monica
44,2021,1,1,22,0,1.12,16.1,028_santa_monica
45,2021,1,1,22,30,1.18,17.5,028_santa_monica
46,2021,1,1,23,0,1.11,16.0,028_santa_monica
47,2021,1,1,23,30,1.22,15.2,028_santa_monica
48,2021,1,2,0,0,1.23,15.0,028_santa_monica
49,2021,1,2,0,30,1.29,15.1,028_santa_monica
50,2021,1,2,1,0,1.31,14.7,028_santa_monica
51,2021,1,2,1,30,1.38,14.7,028_santa_monica
52,2021,1,2,2,0,1.31,14.9,028_santa_monica
53,2021,1,2,2,30,1.36,15.2,028_santa_monica
54,2021,1,2,3,0,1.33,14.9,028_santa_monica
55,2021,1,2,3,30,1.49,15.3,028_santa_monica
56,2021,1,2,4,0,1.33,15.0,028_santa_monica
57,2021,1,2,4,30,1.21,14.6,028_santa_monica
58,2021,1,2,5,0,1.31,14.6,028_santa_monica
59,2021,1,2,5,30,1.21,14.4,028_santa_monica
60,2021,1,2,6,0,1.21,14.4,028_santa_monica
61,2021,1,2,6,30,1.23,13.9,028_santa_monica
62,2021,1,2,7,0,1.21,13.8,028_santa_monica
63,2021,1,2,7,30,1.22,13.8,028_santa_monica
64,2021,1,2,8,0,1.3,13.9,028_santa_monica
65,2021,1,2,8,30,1.3,14.1,028_santa_monica
66,2021,1,2,9,0,1.19,13.8,028_santa_monica
67,2021,1,2,9,30,1.16,14.6,028_santa_monica
68,2021,1,2,10,0,1.17,14.6,028_santa_monica
69,2021,1,2,10,30,1.15,13.7,028_santa_monica
70,2021,1,2,11,0,1.21,13.7,028_santa_monica
71,2021,1,2,11,30,1.16,13.2,028_santa_monica
72,2021,1,2,12,0,1.12,13.0,028_santa_monica
73,2021,1,2,12,30,1.19,12.7,028_santa_monica
74,2021,1,2,13,0,1.08,12.8,028_santa_monica
75,2021,1,2,13,30,1.14,12.9,028_santa_monica
76,2021,1,2,14,0,1.15,12.9,028_santa_monica
77,2021,1,2,14,30,1.22,12.9,028_santa_monica
78,2021,1,2,15,0,1.18,12.8,028_santa_monica
79,2021,1,2,15,30,1.18,13.1,028_santa_monica
80,2021,1,2,16,0,1.22,13.2,028_santa_monica
81,2021,1,2,16,30,1.23,13.3,028_santa_monica
82,2021,1,2,17,0,1.16,13.7,028_santa_monica
83,2021,1,2,17,30,1.22,14.1,028_santa_monica
84,2021,1,2,18,0,1.23,14.1,028_santa_monica
85,2021,1,2,18,30,1.25,13.9,028_santa_monica
86,2021,1,2,19,0,1.19,14.3,028_santa_monica
87,2021,1,2,19,30,1.14,14.2,028_santa_monica
88,2021,1,2,20,0,1.13,14.3,028_santa_monica
89,2021,1,2,20,30,1.08,14.3,028_santa_monica
90,2021,1,2,21,0,1.02,14.2,028_santa_monica
91,2021,1,2,21,30,1.08,14.4,028_santa_monica
92,2021,1,2,22,0,1.15,14.2,028_santa_monica
93,2021,1,2,22,30,1.15,14.2,028_santa_monica
94,2021,1,2,23,0,1.24,13.7,028_santa_monica
95,2021,1,2,23,30,1.25,14.1,028_santa_monica
96,2021,1,3,0,0,1.27,13.6,028_santa_monica
97,2021,1,3,0,30,1.08,13.8,028_santa_monica
98,2021,1,3,1,0,1.35,13.6,028_santa_monica
99,2021,1,3,1,30,1.18,13.6,028_santa_monica
100,2021,1,3,2,0,1.17,13.6,028_santa_monica
101,2021,1,3,2,30,1.39,13.5,028_santa_monica
102,2021,1,3,3,0,1.18,13.6,028_santa_monica
103,2021,1,3,3,30,1.22,13.7,028_santa_monica
104,2021,1,3,4,0,1.22,13.6,028_santa_monica
105,2021,1,3,4,30,1.41,13.6,028_santa_monica
106,2021,1,3,5,0,1.42,13.6,028_santa_monica
107,2021,1,3,5,30,1.29,13.6,028_santa_monica
108,2021,1,3,6,0,1.44,13.7,028_santa_monica
109,2021,1,3,6,30,1.47,13.6,028_santa_monica
110,2021,1,3,7,0,1.39,13.6,028_santa_monica
111,2021,1,3,7,30,1.51,13.4,028_santa_monica
112,2021,1,3,8,0,1.7,13.6,028_santa_monica
