,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
0,2021,1,1,0,0,1.66,1.0,045_oceanside_offshore
1,2021,1,1,0,30,1.59,15.1,045_oceanside_offshore
2,2021,1,1,1,0,1.72,15.1,045_oceanside_offshore
3,2021,1,1,1,30,1.74,15.0,045_oceanside_offshore
4,2021,1,1,2,0,1.6,15.0,045_oceanside_offshore
5,2021,1,1,2,30,1.62,15.0,045_oceanside_offshore
6,2021,1,1,3,0,1.58,15.0,045_oceanside_offshore
7,2021,1,1,3,30,1.38,15.0,045_oceanside_offshore
8,2021,1,1,4,0,1.45,15.0,045_oceanside_offshore
9,2021,1,1,4,30,1.43,14.9,045_oceanside_offshore
10,2021,1,1,5,0,1.47,14.9,045_oceanside_offshore
11,2021,1,1,5,30,1.52,14.9,045_oceanside_offshore
12,2021,1,1,6,0,1.48,14.9,045_oceanside_offshore
13,2021,1,1,6,30,1.46,14.9,045_oceanside_offshore
14,2021,1,1,7,0,1.49,14.9,045_oceanside_offshore
15,2021,1,1,7,30,1.46,14.9,045_oceanside_offshore
16,2021,1,1,8,0,1.52,14.9,045_oceanside_offshore
17,2021,1,1,8,30,1.49,14.9,045_oceanside_offshore
18,2021,1,1,9,0,1.28,14.9,045_oceanside_offshore
19,2021,1,1,9,30,1.21,14.9,045_oceanside_offshore
20,2021,1,1,10,0,1.23,14.9,045_oceanside_offshore
21,2021,1,1,10,30,1.19,14.9,045_oceanside_offshore
22,2021,1,1,11,0,1.14,14.9,045_oceanside_offshore
23,2021,1,1,11,30,1.12,14.9,045_oceanside_offshore
24,2021,1,1,12,0,1.11,14.9,045_oceanside_offshore
25,2021,1,1,12,30,1.16,14.9,045_oceanside_offshore
26,2021,1,1,13,0,1.05,14.9,045_oceanside_offshore
27,2021,1,1,13,30,1.05,14.9,045_oceanside_offshore
28,2021,1,1,14,0,1.13,14.9,045_oceanside_offshore
29,2021,1,1,14,30,1.1,14.9,045_oceanside_offshore
30,2021,1,1,15,0,1.1,14.9,045_oceanside_offshore
31,2021,1,1,15,30,1.03,14.9,045_oceanside_offshore
32,2021,1,1,16,0,1.07,14.9,045_oceanside_offshore
33,2021,1,1,16,30,1.07,14.9,045_oceanside_offshore
34,2021,1,1,17,0,0.98,14.9,045_oceanside_offshore
35,2021,1,1,17,30,0.97,14.9,045_oceanside_offshore
36,2021,1,1,18,0,0.98,15.0,045_oceanside_offshore
37,2021,1,1,18,30,1.06,15.0,045_oceanside_offshore
38,2021,1,1,19,0,1.08,15.2,045_oceanside_offshore
39,2021,1,1,19,30,0.98,15.1,045_oceanside_offshore
40,2021,1,1,20,0,1.06,15.1,045_oceanside_offshore
41,2021,1,1,20,30,0.93,15.1,045_oceanside_offshore
42,2021,1,1,21,0,0.88,15.2,045_oceanside_offshore
43,2021,1,1,21,30,0.89,15.2,045_oceanside_offshore
44,2021,1,1,22,0,0.88,15.2,045_oceanside_offshore
45,2021,1,1,22,30,0.88,15.2,045_oceanside_offshore
46,2021,1,1,23,0,0.86,15.2,045_oceanside_offshore
47,2021,1,1,23,30,0.88,15.1,045_oceanside_offshore
48,2021,1,2,0,0,0.82,15.1,045_oceanside_offshore
49,2021,1,2,0,30,0.86,15.1,045_oceanside_offshore
50,2021,1,2,1,0,0.82,15.1,045_oceanside_offshore
51,2021,1,2,1,30,0.84,15.1,045_oceanside_offshore
52,2021,1,2,2,0,0.79,15.1,045_oceanside_offshore
53,2021,1,2,2,30,0.82,15.1,045_oceanside_offshore
54,2021,1,2,3,0,0.74,15.1,045_oceanside_offshore
55,2021,1,2,3,30,0.77,15.1,045_oceanside_offshore
56,2021,1,2,4,0,0.77,15.1,045_oceanside_offshore
57,2021,1,2,4,30,0.73,15.1,045_oceanside_offshore
58,2021,1,2,5,0,0.81,15.1,045_oceanside_offshore
59,2021,1,2,5,30,0.85,15.0,045_oceanside_offshore
60,2021,1,2,6,0,0.87,15.0,045_oceanside_offshore
61,2021,1,2,6,30,0.88,15.0,045_oceanside_offshore
62,2021,1,2,7,0,0.83,14.9,045_oceanside_offshore
63,2021,1,2,7,30,0.79,14.9,045_oceanside_offshore
64,2021,1,2,8,0,0.84,14.9,045_oceanside_offshore
65,2021,1,2,8,30,0.78,14.9,045_oceanside_offshore
66,2021,1,2,9,0,0.74,14.9,045_oceanside_offshore
67,2021,1,2,9,30,0.76,14.9,045_oceanside_offshore
68,2021,1,2,10,0,0.73,14.9,045_oceanside_offshore
69,2021,1,2,10,30,0.74,14.9,045_oceanside_offshore
70,2021,1,2,11,0,0.75,14.9,045_oceanside_offshore
71,2021,1,2,11,30,0.8,14.8,045_oceanside_offshore
72,2021,1,2,12,0,0.81,14.8,045_oceanside_offshore
73,2021,1,2,12,30,0.76,14.8,045_oceanside_offshore
74,2021,1,2,13,0,0.8,14.8,045_oceanside_offshore
75,2021,1,2,13,30,0.77,14.8,045_oceanside_offshore
76,2021,1,2,14,0,0.76,14.8,045_oceanside_offshore
77,2021,1,2,14,30,0.68,14.8,045_oceanside_offshore
78,2021,1,2,15,0,0.72,14.8,045_oceanside_offshore
79,2021,1,2,15,30,0.76,14.8,045_oceanside_offshore
80,2021,1,2,16,0,0.79,14.8,045_oceanside_offshore
81,2021,1,2,16,30,0.83,14.8,045_oceanside_offshore
82,2021,1,2,17,0,0.83,14.8,045_oceanside_offshore
83,2021,1,2,17,30,0.78,14.8,045_oceanside_offshore
84,2021,1,2,18,0,0.83,14.9,045_oceanside_offshore
85,2021,1,2,18,30,0.77,14.9,045_oceanside_offshore
86,2021,1,2,19,0,0.81,15.0,045_oceanside_offshore
87,2021,1,2,19,30,0.82,15.0,045_oceanside_offshore
88,2021,1,2,20,0,0.83,15.1,045_oceanside_offshore
89,2021,1,2,20,30,0.97,15.1,045_oceanside_offshore
90,2021,1,2,21,0,0.84,15.2,045_oceanside_offshore
91,2021,1,2,21,30,0.91,15.3,045_oceanside_offshore
92,2021,1,2,22,0,0.91,15.4,045_oceanside_offshore
93,2021,1,2,22,30,0.89,15.4,045_oceanside_offshore
94,2021,1,2,23,0,0.91,15.3,045_oceanside_offshore
95,2021,1,2,23,30,0.89,15.2,045_oceanside_offshore
96,2021,1,3,0,0,0.91,15.2,045_oceanside_offshore
97,2021,1,3,0,30,0.91,15.2,045_oceanside_offshore
98,2021,1,3,1,0,0.96,15.1,045_oceanside_offshore
99,2021,1,3,1,30,0.89,15.1,045_oceanside_offshore
100,2021,1,3,2,0,0.94,15.0,045_oceanside_offshore
101,2021,1,3,2,30,1.04,15.0,045_oceanside_offshore
102,2021,1,3,3,0,1.04,15.0,045_oceanside_offshore
103,2021,1,3,3,30,1.07,15.0,045_oceanside_offshore
104,2021,1,3,4,0,1.14,15.0,045_oceanside_offshore
105,2021,1,3,4,30,1.08,15.0,045_oceanside_offshore
106,2021,1,3,5,0,0.99,15.0,045_oceanside_offshore
107,2021,1,3,5,30,1.22,15.0,045_oceanside_offshore
108,2021,1,3,6,0,1.26,15.0,045_oceanside_offshore
109,2021,1,3,6,30,1.05,15.0,045_oceanside_offshore
110,2021,1,3,7,0,1.08,15.0,045_oceanside_offshore
111,2021,1,3,7,30,1.03,15.0,045_oceanside_offshore
112,2021,1,3,8,0,1.1,15.0,045_oceanside_offshore
113,2021,1,3,8,30,1.14,15.0,045_oceanside_offshore
114,2021,1,3,9,0,1.11,14.9,045_oceanside_offshore
115,2021,1,3,9,30,0.93,14.9,045_oceanside_offshore
116,2021,1,3,10,0,0.98,14.9,045_oceanside_offshore
117,2021,1,3,10,30,0.96,14.9,045_oceanside_offshore
118,2021,1,3,11,0,0.8,14.9,045_oceanside_offshore
119,2021,1,3,11,30,0.88,14.9,045_oceanside_offshore
120,2021,1,3,12,0,0.9,14.9,045_oceanside_offshore
121,2021,1,3,12,30,1.0,14.9,045_oceanside_offshore
122,2021,1,3,13,0,0.96,14.9,045_oceanside_offshore
123,2021,1,3,13,30,1.1,14.9,045_oceanside_offshore
124,2021,1,3,14,0,1.2,14.9,045_oceanside_offshore
125,2021,1,3,14,30,1.3,14.9,045_oceanside_offshore
126,2021,1,3,15,0,1.05,14.8,045_oceanside_offshore
127,2021,1,3,15,30,1.08,14.8,045_oceanside_offshore
128,2021,1,3,16,0,1.08,14.8,045_oceanside_offshore
129,2021,1,3,16,30,1.2,14.8,045_oceanside_offshore
130,2021,1,3,17,0,1.21,14.8,045_oceanside_offshore
131,2021,1,3,17,30,1.25,14.8,045_oceanside_offshore
132,2021,1,3,18,0,1.24,14.8,045_oceanside_offshore
133,2021,1,3,18,30,1.09,14.8,045_oceanside_offshore
134,2021,1,3,19,0,1.0,14.9,045_oceanside_offshore
135,2021,1,3,19,30,1.19,15.0,045_oceanside_offshore
136,2021,1,3,20,0,1.23,15.1,045_oceanside_offshore
137,2021,1,3,20,30,1.31,15.1,045_oceanside_offshore
138,2021,1,3,21,0,1.2,15.2,045_oceanside_offshore
139,2021,1,3,21,30,1.14,15.3,045_oceanside_offshore
140,2021,1,3,22,0,0.99,15.3,045_oceanside_offshore
141,2021,1,3,22,30,1.34,15.1,045_oceanside_offshore
142,2021,1,3,23,0,1.15,15.1,045_oceanside_offshore
143,2021,1,3,23,30,1.15,15.1,045_oceanside_offshore
144,2021,1,4,0,0,1.08,15.0,045_oceanside_offshore
145,2021,1,4,0,30,1.11,15.0,045_oceanside_offshore
146,2021,1,4,1,0,1.15,15.0,045_oceanside_offshore
147,2021,1,4,1,30,1.18,15.0,045_oceanside_offshore
148,2021,1,4,2,0,1.11,15.0,045_oceanside_offshore
149,2021,1,4,2,30,1.1,15.0,045_oceanside_offshore
150,2021,1,4,3,0,1.07,14.9,045_oceanside_offshore
151,2021,1,4,3,30,1.06,14.9,045_oceanside_offshore
152,2021,1,4,4,0,1.06,14.9,045_oceanside_offshore
153,2021,1,4,4,30,1.01,14.9,045_oceanside_offshore
154,2021,1,4,5,0,1.16,14.9,045_oceanside_offshore
155,2021,1,4,5,30,1.01,14.9,045_oceanside_offshore
156,2021,1,4,6,0,1.03,14.9,045_oceanside_offshore
157,2021,1,4,6,30,1.09,14.9,045_oceanside_offshore
158,2021,1,4,7,0,1.13,14.9,045_oceanside_offshore
