,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
0,2021,1,1,0,45,1.64,,073_scripss_pier
1,2021,1,1,1,45,1.55,,073_scripss_pier
2,2021,1,1,2,45,1.59,,073_scripss_pier
3,2021,1,1,3,45,1.62,,073_scripss_pier
4,2021,1,1,4,45,1.71,,073_scripss_pier
5,2021,1,1,5,45,1.53,,073_scripss_pier
6,2021,1,1,6,45,1.6,,073_scripss_pier
7,2021,1,1,7,45,1.46,,073_scripss_pier
8,2021,1,1,8,45,1.48,,073_scripss_pier
9,2021,1,1,9,45,1.39,,073_scripss_pier
10,2021,1,1,10,45,1.31,,073_scripss_pier
11,2021,1,1,11,45,1.35,,073_scripss_pier
12,2021,1,1,12,45,1.28,,073_scripss_pier
13,2021,1,1,13,45,1.25,,073_scripss_pier
14,2021,1,1,14,45,1.14,,073_scripss_pier
15,2021,1,1,15,45,1.2,,073_scripss_pier
16,2021,1,1,16,45,0.99,,073_scripss_pier
17,2021,1,1,17,45,1.0,,073_scripss_pier
18,2021,1,1,18,45,1.0,,073_scripss_pier
19,2021,1,1,19,45,0.93,,073_scripss_pier
20,2021,1,1,20,45,1.03,,073_scripss_pier
21,2021,1,1,21,45,1.05,,073_scripss_pier
22,2021,1,1,22,45,1.02,,073_scripss_pier
23,2021,1,1,23,45,1.03,,073_scripss_pier
24,2021,1,2,0,45,1.06,,073_scripss_pier
25,2021,1,2,1,45,1.02,,073_scripss_pier
26,2021,1,2,2,45,1.04,,073_scripss_pier
27,2021,1,2,3,45,1.05,,073_scripss_pier
28,2021,1,2,4,45,1.06,,073_scripss_pier
29,2021,1,2,5,45,0.99,,073_scripss_pier
30,2021,1,2,6,45,0.95,,073_scripss_pier
31,2021,1,2,7,45,1.02,,073_scripss_pier
32,2021,1,2,8,45,0.98,,073_scripss_pier
33,2021,1,2,9,45,0.89,,073_scripss_pier
34,2021,1,2,10,45,0.82,,073_scripss_pier
35,2021,1,2,11,45,0.77,,073_scripss_pier
36,2021,1,2,12,45,0.8,,073_scripss_pier
37,2021,1,2,13,45,0.76,,073_scripss_pier
38,2021,1,2,14,45,0.79,,073_scripss_pier
39,2021,1,2,15,45,0.8,,073_scripss_pier
40,2021,1,2,16,45,0.79,,073_scripss_pier
41,2021,1,2,17,45,0.78,,073_scripss_pier
42,2021,1,2,18,45,0.77,,073_scripss_pier
43,2021,1,2,19,45,0.77,,073_scripss_pier
44,2021,1,2,20,45,0.79,,073_scripss_pier
45,2021,1,2,21,45,0.74,,073_scripss_pier
46,2021,1,2,22,45,0.72,,073_scripss_pier
47,2021,1,2,23,45,0.76,,073_scripss_pier
48,2021,1,3,0,45,0.75,,073_scripss_pier
49,2021,1,3,1,45,0.74,,073_scripss_pier
50,2021,1,3,2,45,0.77,,073_scripss_pier
51,2021,1,3,3,45,0.77,,073_scripss_pier
52,2021,1,3,4,45,0.81,,073_scripss_pier
53,2021,1,3,5,45,0.88,,073_scripss_pier
54,2021,1,3,6,45,0.87,,073_scripss_pier
55,2021,1,3,7,45,0.85,,073_scripss_pier
56,2021,1,3,8,45,0.84,,073_scripss_pier
57,2021,1,3,9,45,0.9,,073_scripss_pier
58,2021,1,3,10,45,0.88,,073_scripss_pier
59,2021,1,3,11,45,0.88,,073_scripss_pier
60,2021,1,3,12,45,0.78,,073_scripss_pier
61,2021,1,3,13,45,0.98,,073_scripss_pier
62,2021,1,3,14,45,0.93,,073_scripss_pier
63,2021,1,3,15,45,0.94,,073_scripss_pier
64,2021,1,3,16,45,1.07,,073_scripss_pier
65,2021,1,3,17,45,1.06,,073_scripss_pier
66,2021,1,3,18,45,1.14,,073_scripss_pier
67,2021,1,3,19,45,1.07,,073_scripss_pier
68,2021,1,3,20,45,1.06,,073_scripss_pier
69,2021,1,3,21,45,1.1,,073_scripss_pier
70,2021,1,3,22,45,1.07,,073_scripss_pier
71,2021,1,3,23,45,1.15,,073_scripss_pier
72,2021,1,4,0,45,1.19,,073_scripss_pier
73,2021,1,4,1,45,1.12,,073_scripss_pier
