,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
0,2021,1,1,0,0,1.61,15.1,153_del_mar_nearshore
1,2021,1,1,0,30,1.66,14.6,153_del_mar_nearshore
2,2021,1,1,1,0,1.57,14.4,153_del_mar_nearshore
3,2021,1,1,1,30,1.57,14.1,153_del_mar_nearshore
4,2021,1,1,2,0,1.52,13.9,153_del_mar_nearshore
5,2021,1,1,2,30,1.57,13.3,153_del_mar_nearshore
6,2021,1,1,3,0,1.63,13.0,153_del_mar_nearshore
7,2021,1,1,3,30,1.62,12.8,153_del_mar_nearshore
8,2021,1,1,4,0,1.64,12.4,153_del_mar_nearshore
9,2021,1,1,4,30,1.68,12.3,153_del_mar_nearshore
10,2021,1,1,5,0,1.6,11.9,153_del_mar_nearshore
11,2021,1,1,5,30,1.62,11.7,153_del_mar_nearshore
12,2021,1,1,6,0,1.6,12.0,153_del_mar_nearshore
13,2021,1,1,6,30,1.5,12.0,153_del_mar_nearshore
14,2021,1,1,7,0,1.52,11.5,153_del_mar_nearshore
15,2021,1,1,7,30,1.52,11.9,153_del_mar_nearshore
16,2021,1,1,8,0,1.5,12.1,153_del_mar_nearshore
17,2021,1,1,8,30,1.48,10.9,153_del_mar_nearshore
18,2021,1,1,9,0,1.44,11.5,153_del_mar_nearshore
19,2021,1,1,9,30,1.37,10.8,153_del_mar_nearshore
20,2021,1,1,10,0,1.35,10.7,153_del_mar_nearshore
21,2021,1,1,10,30,1.35,10.5,153_del_mar_nearshore
22,2021,1,1,11,0,1.31,10.3,153_del_mar_nearshore
23,2021,1,1,11,30,1.28,9.8,153_del_mar_nearshore
24,2021,1,1,12,0,1.26,10.0,153_del_mar_nearshore
25,2021,1,1,12,30,1.3,10.4,153_del_mar_nearshore
26,2021,1,1,13,0,1.26,9.3,153_del_mar_nearshore
27,2021,1,1,13,30,1.18,9.8,153_del_mar_nearshore
28,2021,1,1,14,0,1.2,9.9,153_del_mar_nearshore
29,2021,1,1,14,30,1.27,9.3,153_del_mar_nearshore
30,2021,1,1,15,0,1.18,9.1,153_del_mar_nearshore
31,2021,1,1,15,30,1.17,10.0,153_del_mar_nearshore
32,2021,1,1,16,0,1.24,10.6,153_del_mar_nearshore
33,2021,1,1,16,30,1.15,11.6,153_del_mar_nearshore
34,2021,1,1,17,0,1.29,11.8,153_del_mar_nearshore
35,2021,1,1,17,30,1.29,13.1,153_del_mar_nearshore
