,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
0,2021,1,1,0,0,2.34,14.6,155_imperial_beach
1,2021,1,1,0,30,2.25,14.3,155_imperial_beach
2,2021,1,1,1,0,2.18,14.3,155_imperial_beach
3,2021,1,1,1,30,1.99,14.2,155_imperial_beach
4,2021,1,1,2,0,2.19,14.1,155_imperial_beach
5,2021,1,1,2,30,1.96,14.0,155_imperial_beach
6,2021,1,1,3,0,2.06,14.0,155_imperial_beach
7,2021,1,1,3,30,1.96,13.4,155_imperial_beach
8,2021,1,1,4,0,2.07,13.3,155_imperial_beach
9,2021,1,1,4,30,2.0,13.2,155_imperial_beach
10,2021,1,1,5,0,2.12,12.6,155_imperial_beach
11,2021,1,1,5,30,2.2,11.7,155_imperial_beach
12,2021,1,1,6,0,2.02,11.9,155_imperial_beach
13,2021,1,1,6,30,2.24,12.4,155_imperial_beach
14,2021,1,1,7,0,2.05,11.9,155_imperial_beach
15,2021,1,1,7,30,2.07,11.4,155_imperial_beach
16,2021,1,1,8,0,1.97,11.4,155_imperial_beach
17,2021,1,1,8,30,1.87,11.1,155_imperial_beach
18,2021,1,1,9,0,1.86,11.2,155_imperial_beach
19,2021,1,1,9,30,1.85,11.1,155_imperial_beach
20,2021,1,1,10,0,1.86,10.9,155_imperial_beach
21,2021,1,1,10,30,1.92,11.3,155_imperial_beach
22,2021,1,1,11,0,1.81,9.9,155_imperial_beach
23,2021,1,1,11,30,1.72,9.7,155_imperial_beach
24,2021,1,1,12,0,1.82,9.9,155_imperial_beach
25,2021,1,1,12,30,1.76,9.9,155_imperial_beach
26,2021,1,1,13,0,1.57,9.6,155_imperial_beach
27,2021,1,1,13,30,1.69,9.6,155_imperial_beach
28,2021,1,1,14,0,1.67,9.7,155_imperial_beach
29,2021,1,1,14,30,1.72,9.9,155_imperial_beach
30,2021,1,1,15,0,1.74,9.3,155_imperial_beach
31,2021,1,1,15,30,1.81,10.2,155_imperial_beach
32,2021,1,1,16,0,1.86,10.6,155_imperial_beach
33,2021,1,1,16,30,1.93,11.6,155_imperial_beach
34,2021,1,1,17,0,1.99,12.5,155_imperial_beach
35,2021,1,1,17,30,2.09,0.03,155_imperial_beach
36,2021,1,1,18,0,1.88,13.4,155_imperial_beach
37,2021,1,1,18,30,1.9,13.1,155_imperial_beach
38,2021,1,1,19,0,1.87,0.06,155_imperial_beach
39,2021,1,1,19,30,1.87,0.43,155_imperial_beach
40,2021,1,1,20,0,1.75,14.7,155_imperial_beach
41,2021,1,1,20,30,1.82,0.09,155_imperial_beach
42,2021,1,1,21,0,1.73,15.1,155_imperial_beach
43,2021,1,1,21,30,1.72,15.2,155_imperial_beach
44,2021,1,1,22,0,1.68,15.1,155_imperial_beach
45,2021,1,1,22,30,1.62,15.5,155_imperial_beach
46,2021,1,1,23,0,1.61,15.9,155_imperial_beach
47,2021,1,1,23,30,1.54,15.9,155_imperial_beach
48,2021,1,2,0,0,1.47,15.6,155_imperial_beach
49,2021,1,2,0,30,1.52,15.3,155_imperial_beach
50,2021,1,2,1,0,1.69,0.25,155_imperial_beach
51,2021,1,2,1,30,1.59,0.09,155_imperial_beach
52,2021,1,2,2,0,1.58,0.26,155_imperial_beach
53,2021,1,2,2,30,1.52,0.13,155_imperial_beach
54,2021,1,2,3,0,1.45,13.9,155_imperial_beach
55,2021,1,2,3,30,1.58,0.39,155_imperial_beach
56,2021,1,2,4,0,1.56,0.66,155_imperial_beach
57,2021,1,2,4,30,1.57,0.56,155_imperial_beach
58,2021,1,2,5,0,1.52,0.16,155_imperial_beach
59,2021,1,2,5,30,1.46,0.15,155_imperial_beach
60,2021,1,2,6,0,1.52,0.52,155_imperial_beach
61,2021,1,2,6,30,1.59,0.75,155_imperial_beach
62,2021,1,2,7,0,1.35,0.01,155_imperial_beach
63,2021,1,2,7,30,1.38,0.34,155_imperial_beach
64,2021,1,2,8,0,1.26,12.2,155_imperial_beach
65,2021,1,2,8,30,1.3,12.4,155_imperial_beach
66,2021,1,2,9,0,1.28,0.18,155_imperial_beach
67,2021,1,2,9,30,1.14,11.8,155_imperial_beach
68,2021,1,2,10,0,1.19,11.4,155_imperial_beach
69,2021,1,2,10,30,1.13,11.2,155_imperial_beach
70,2021,1,2,11,0,1.12,11.9,155_imperial_beach
71,2021,1,2,11,30,1.11,11.5,155_imperial_beach
72,2021,1,2,12,0,1.13,0.0,155_imperial_beach
73,2021,1,2,12,30,1.15,0.09,155_imperial_beach
74,2021,1,2,13,0,1.14,0.23,155_imperial_beach
75,2021,1,2,13,30,1.18,0.3,155_imperial_beach
76,2021,1,2,14,0,1.13,0.15,155_imperial_beach
77,2021,1,2,14,30,1.19,0.75,155_imperial_beach
78,2021,1,2,15,0,1.14,0.14,155_imperial_beach
79,2021,1,2,15,30,1.3,1.14,155_imperial_beach
80,2021,1,2,16,0,1.21,1.01,155_imperial_beach
81,2021,1,2,16,30,1.46,1.98,155_imperial_beach
82,2021,1,2,17,0,1.31,1.47,155_imperial_beach
83,2021,1,2,17,30,1.33,1.78,155_imperial_beach
84,2021,1,2,18,0,1.45,2.46,155_imperial_beach
85,2021,1,2,18,30,1.31,1.84,155_imperial_beach
86,2021,1,2,19,0,1.29,1.35,155_imperial_beach
