,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
0,2021,1,1,0,0,2.52,1.0,191_point_loma_south
1,2021,1,1,0,30,2.4,15.0,191_point_loma_south
2,2021,1,1,1,0,2.5,14.9,191_point_loma_south
3,2021,1,1,1,30,2.29,14.9,191_point_loma_south
4,2021,1,1,2,0,2.37,14.9,191_point_loma_south
5,2021,1,1,2,30,2.39,14.9,191_point_loma_south
6,2021,1,1,3,0,2.35,15.0,191_point_loma_south
7,2021,1,1,3,30,2.56,15.0,191_point_loma_south
8,2021,1,1,4,0,2.46,15.0,191_point_loma_south
9,2021,1,1,4,30,2.68,15.0,191_point_loma_south
10,2021,1,1,5,0,2.53,15.0,191_point_loma_south
11,2021,1,1,5,30,2.74,15.0,191_point_loma_south
12,2021,1,1,6,0,2.52,15.0,191_point_loma_south
13,2021,1,1,6,30,2.42,15.0,191_point_loma_south
14,2021,1,1,7,0,2.35,15.0,191_point_loma_south
15,2021,1,1,7,30,2.4,15.0,191_point_loma_south
16,2021,1,1,8,0,2.27,15.0,191_point_loma_south
17,2021,1,1,8,30,2.18,15.1,191_point_loma_south
18,2021,1,1,9,0,2.19,15.0,191_point_loma_south
19,2021,1,1,9,30,2.12,15.0,191_point_loma_south
20,2021,1,1,10,0,2.09,15.0,191_point_loma_south
21,2021,1,1,10,30,1.98,15.0,191_point_loma_south
22,2021,1,1,11,0,1.98,15.0,191_point_loma_south
23,2021,1,1,11,30,2.02,15.1,191_point_loma_south
24,2021,1,1,12,0,1.81,15.1,191_point_loma_south
25,2021,1,1,12,30,1.85,15.1,191_point_loma_south
26,2021,1,1,13,0,1.79,15.1,191_point_loma_south
27,2021,1,1,13,30,1.87,15.1,191_point_loma_south
28,2021,1,1,14,0,1.71,15.0,191_point_loma_south
29,2021,1,1,14,30,1.78,15.0,191_point_loma_south
30,2021,1,1,15,0,1.67,15.0,191_point_loma_south
31,2021,1,1,15,30,1.74,15.0,191_point_loma_south
32,2021,1,1,16,0,1.77,15.0,191_point_loma_south
33,2021,1,1,16,30,1.67,15.0,191_point_loma_south
34,2021,1,1,17,0,1.68,15.0,191_point_loma_south
35,2021,1,1,17,30,1.77,15.1,191_point_loma_south
36,2021,1,1,18,0,1.94,15.1,191_point_loma_south
37,2021,1,1,18,30,1.86,15.1,191_point_loma_south
