,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
0,2021,1,1,0,0,1.2,1.0,215_long_beach_channel
1,2021,1,1,0,30,1.1,14.8,215_long_beach_channel
2,2021,1,1,1,0,1.03,14.7,215_long_beach_channel
3,2021,1,1,1,30,1.08,14.7,215_long_beach_channel
4,2021,1,1,2,0,1.03,14.7,215_long_beach_channel
5,2021,1,1,2,30,1.09,14.7,215_long_beach_channel
6,2021,1,1,3,0,0.96,14.6,215_long_beach_channel
7,2021,1,1,3,30,1.02,14.6,215_long_beach_channel
8,2021,1,1,4,0,1.03,14.5,215_long_beach_channel
9,2021,1,1,4,30,0.94,14.5,215_long_beach_channel
10,2021,1,1,5,0,1.0,14.5,215_long_beach_channel
11,2021,1,1,5,30,0.99,14.5,215_long_beach_channel
12,2021,1,1,6,0,1.0,14.5,215_long_beach_channel
13,2021,1,1,6,30,1.01,14.5,215_long_beach_channel
14,2021,1,1,7,0,0.96,14.5,215_long_beach_channel
15,2021,1,1,7,30,1.05,14.5,215_long_beach_channel
16,2021,1,1,8,0,0.99,14.5,215_long_beach_channel
17,2021,1,1,8,30,1.05,14.5,215_long_beach_channel
18,2021,1,1,9,0,0.99,14.4,215_long_beach_channel
19,2021,1,1,9,30,0.91,14.4,215_long_beach_channel
20,2021,1,1,10,0,0.99,14.4,215_long_beach_channel
21,2021,1,1,10,30,0.98,14.5,215_long_beach_channel
22,2021,1,1,11,0,0.92,14.5,215_long_beach_channel
23,2021,1,1,11,30,0.91,14.5,215_long_beach_channel
24,2021,1,1,12,0,0.98,14.5,215_long_beach_channel
25,2021,1,1,12,30,0.95,14.5,215_long_beach_channel
26,2021,1,1,13,0,0.88,14.5,215_long_beach_channel
27,2021,1,1,13,30,0.79,14.5,215_long_beach_channel
28,2021,1,1,14,0,0.82,14.5,215_long_beach_channel
29,2021,1,1,14,30,0.81,14.5,215_long_beach_channel
30,2021,1,1,15,0,0.85,14.5,215_long_beach_channel
31,2021,1,1,15,30,0.87,14.6,215_long_beach_channel
32,2021,1,1,16,0,0.87,14.5,215_long_beach_channel
33,2021,1,1,16,30,0.84,14.5,215_long_beach_channel
34,2021,1,1,17,0,0.86,14.5,215_long_beach_channel
35,2021,1,1,17,30,0.8,14.6,215_long_beach_channel
36,2021,1,1,18,0,0.87,14.6,215_long_beach_channel
37,2021,1,1,18,30,0.86,14.6,215_long_beach_channel
38,2021,1,1,19,0,0.95,14.7,215_long_beach_channel
39,2021,1,1,19,30,0.94,14.9,215_long_beach_channel
40,2021,1,1,20,0,0.92,15.1,215_long_beach_channel
41,2021,1,1,20,30,0.92,15.2,215_long_beach_channel
42,2021,1,1,21,0,1.03,15.2,215_long_beach_channel
43,2021,1,1,21,30,1.02,15.0,215_long_beach_channel
44,2021,1,1,22,0,0.96,15.1,215_long_beach_channel
45,2021,1,1,22,30,1.01,15.1,215_long_beach_channel
46,2021,1,1,23,0,0.9,15.1,215_long_beach_channel
47,2021,1,1,23,30,0.98,15.0,215_long_beach_channel
48,2021,1,2,0,0,1.01,14.9,215_long_beach_channel
49,2021,1,2,0,30,0.93,14.8,215_long_beach_channel
50,2021,1,2,1,0,0.91,14.7,215_long_beach_channel
51,2021,1,2,1,30,0.98,14.6,215_long_beach_channel
52,2021,1,2,2,0,1.06,14.6,215_long_beach_channel
53,2021,1,2,2,30,0.99,14.6,215_long_beach_channel
54,2021,1,2,3,0,1.01,14.6,215_long_beach_channel
55,2021,1,2,3,30,1.11,14.6,215_long_beach_channel
56,2021,1,2,4,0,1.03,14.6,215_long_beach_channel
57,2021,1,2,4,30,0.97,14.7,215_long_beach_channel
58,2021,1,2,5,0,0.96,14.7,215_long_beach_channel
59,2021,1,2,5,30,1.01,14.7,215_long_beach_channel
60,2021,1,2,6,0,1.12,14.6,215_long_beach_channel
61,2021,1,2,6,30,0.97,14.6,215_long_beach_channel
62,2021,1,2,7,0,0.97,14.6,215_long_beach_channel
63,2021,1,2,7,30,1.0,14.6,215_long_beach_channel
64,2021,1,2,8,0,0.88,14.6,215_long_beach_channel
65,2021,1,2,8,30,0.96,14.6,215_long_beach_channel
66,2021,1,2,9,0,0.92,14.6,215_long_beach_channel
67,2021,1,2,9,30,0.8,14.6,215_long_beach_channel
68,2021,1,2,10,0,0.84,14.6,215_long_beach_channel
69,2021,1,2,10,30,0.8,14.6,215_long_beach_channel
70,2021,1,2,11,0,0.76,14.6,215_long_beach_channel
71,2021,1,2,11,30,0.8,14.6,215_long_beach_channel
72,2021,1,2,12,0,0.75,14.6,215_long_beach_channel
73,2021,1,2,12,30,0.8,14.6,215_long_beach_channel
74,2021,1,2,13,0,0.76,14.6,215_long_beach_channel
75,2021,1,2,13,30,0.72,14.6,215_long_beach_channel
76,2021,1,2,14,0,0.74,14.5,215_long_beach_channel
77,2021,1,2,14,30,0.85,14.5,215_long_beach_channel
78,2021,1,2,15,0,0.85,14.5,215_long_beach_channel
79,2021,1,2,15,30,0.76,14.5,215_long_beach_channel
80,2021,1,2,16,0,0.79,14.5,215_long_beach_channel
81,2021,1,2,16,30,0.78,14.5,215_long_beach_channel
82,2021,1,2,17,0,0.73,14.5,215_long_beach_channel
83,2021,1,2,17,30,0.81,14.5,215_long_beach_channel
84,2021,1,2,18,0,0.75,14.6,215_long_beach_channel
85,2021,1,2,18,30,0.89,14.8,215_long_beach_channel
86,2021,1,2,19,0,0.86,14.9,215_long_beach_channel
87,2021,1,2,19,30,0.89,15.0,215_long_beach_channel
88,2021,1,2,20,0,0.91,15.1,215_long_beach_channel
89,2021,1,2,20,30,0.96,15.3,215_long_beach_channel
90,2021,1,2,21,0,0.92,15.0,215_long_beach_channel
91,2021,1,2,21,30,0.9,15.2,215_long_beach_channel
92,2021,1,2,22,0,0.97,15.2,215_long_beach_channel
