"country","totAll","tot2020","tot2019","tot2018","tot2017","tot2016","tot2015","tot2014","tot2013","tot2012","tot2011"
"Mexico",1480901,100325,156052,161858,170581,174534,158619,134052,135028,146406,143446
"China",713527,41483,62248,65214,71565,81772,74558,76089,71798,81784,87016
"India",631689,46363,54495,59821,60394,64687,64116,77908,68458,66434,69013
"Philippines",496361,25491,45920,47258,49147,53287,56478,49996,54446,57327,57011
"Dominican Republic",481183,30005,49911,57413,58520,61161,50610,44577,41311,41566,46109
"Cuba",468604,16367,41641,76486,65028,66516,54396,46679,32219,32820,36452
"Vietnam",333900,29995,39712,33834,38231,41451,30832,30283,27101,28304,34157
"El Salvador",214390,17907,27656,28326,25109,23449,19487,19273,18260,16256,18667
"South Korea",197791,16244,18479,17676,19194,21801,17138,20423,23166,20846,22824
"Jamaica",196552,12826,21689,20347,21905,23350,17642,19026,19400,20705,19662
"Haiti",190880,9338,17253,21360,21824,23584,16967,15274,20351,22818,22111
"Colombia",186129,11989,19841,17545,17956,18610,17316,18175,21131,20931,22635
"Pakistan",157124,10474,13921,15802,17408,19313,18057,18612,13251,14740,15546
"Iraq",147552,2266,6514,14351,14203,18904,21107,19153,9552,20369,21133
"Bangladesh",145307,9272,15176,15717,14693,18723,13570,14645,12099,14705,16707
"Brazil",136856,16746,19825,15394,14989,13812,11424,10429,11033,11441,11763
"Nigeria",133766,12398,15888,13952,13539,14380,11542,12828,13840,13575,11824
"Ethiopia",120740,6280,9060,12403,14637,13232,11394,12300,13097,14544,13793
"Canada",118261,9526,11388,9898,11484,12793,12673,11586,13181,12932,12800
"Iran",117980,8805,6640,10116,13791,13298,13114,11615,12863,12916,14822
"Guatemala",116774,7815,13453,15638,13198,13002,11773,10238,10224,10341,11092
"United Kingdom",115908,9655,11337,9908,10948,12673,12592,12225,12984,12014,11572
"Nepal",114269,7847,10201,11953,11610,12851,12926,12357,13046,11312,10166
"Venezuela",107912,12136,15720,11762,11809,10772,9144,8427,9572,9387,9183
"Peru",106599,5626,10049,9878,10115,10940,10148,10606,12564,12609,14064
"Ecuador",102246,6157,11083,11472,10594,10757,10187,10960,10591,9342,11103
"Honduras",102006,8277,15901,13794,11387,13302,9274,8156,8898,6884,6133
"Egypt",97970,6164,9479,9826,9834,12045,12085,11477,10294,8988,7778
"Ukraine",93950,9886,11762,11879,10135,10422,7987,7752,8193,7642,8292
"Afghanistan",90845,11407,10136,12935,19538,12513,8328,10527,2196,1617,1648
"Russia",90169,7967,9822,8621,8918,9297,8799,9079,9753,9969,7944
